14.07.1990;Ян Непомнящий
31.10.1983;Александр Грищук
12.01.1990;Сергей Карякин
05.02.1990;Дмитрий Андрейкин
04.02.1987;Никита Витюгов
22.03.2002;Андрей Есипенко
18.04.1996;Даниил Дубов
22.06.1997;Кирилл Алексеенко
01.07.1987;Евгений Томашевский
16.02.1995;Владимир Федосеев
05.03.1998;Владислав Артемьев
17.06.1976;Пётр Свидлер
28.06.1983;Дмитрий Яковенко
05.03.1991;Максим Матлаков
09.12.1985;Эрнесто Инаркиев
05.01.1994;Александр Предке
31.01.1993;Санан Сюгиров
15.07.1988;Павел Понкратов
27.11.1980;Владимир Малахов
28.08.1989;Александр Рахманов
01.07.1997;Григорий Опарин
22.06.1977;Евгений Наер
20.08.1987;Антон Демченко
26.01.2000;Алексей Сарана
08.03.1998;Давид Паравян
07.11.1996;Максим Чигаев
15.10.1974;Сергей Рублевский
30.01.1969;Алексей Дреев
12.09.1985;Александр Рязанцев
20.03.1990;Иван Попов
22.05.1972;Константин Ланда
17.06.1979;Александр Мотылёв
10.06.1997;Михаил Антипов
27.03.1986;Борис Грачёв
22.08.1990;Ильдар Хайруллин
18.08.1976;Вадим Звягинцев
18.01.1966;Александр Халифман
28.12.1984;Денис Хисматуллин
13.04.1974;Константин Сакаев
