дата;wiki id;page id;имя;профессия;ссылка
1900-01-01;Q15066114;16730934;Дукельский, Владимир Маркович;советский физик-ядерщик;https://ru.wikipedia.org/wiki/Дукельский,_Владимир_Маркович
1900-01-01;Q15498561;17141197;Джо Аугустин;American writer, film producer;https://ru.wikipedia.org/wiki/Джо_Аугустин
1900-01-01;Q15720310;17355305;Куперман, Осип Миронович;;https://ru.wikipedia.org/wiki/Куперман,_Осип_Миронович
1900-01-01;Q9696805;9898154;Гамбаротта, Карлос Алберто;бразильский футболист;https://ru.wikipedia.org/wiki/Гамбаротта,_Карлос_Алберто
1900-01-01;Q10416121;11718633;Хорас Уильямс;Welsh footballer (1900-1960);https://ru.wikipedia.org/wiki/Хорас_Уильямс
1900-01-01;Q11364105;12502118;Накаяма, Гоити;;https://ru.wikipedia.org/wiki/Накаяма,_Гоити
1900-01-01;Q11370849;12508980;Камэяма, Коити;Japanese politician;https://ru.wikipedia.org/wiki/Камэяма,_Коити
1900-01-01;Q11460853;12600336;Кобаякава, Кинго;;https://ru.wikipedia.org/wiki/Кобаякава,_Кинго
1900-01-01;Q11470373;12609880;Ямада, Этаи;Japanese buddhist;https://ru.wikipedia.org/wiki/Ямада,_Этаи
1900-01-01;Q11560291;12700216;Фукая, Исабуро;;https://ru.wikipedia.org/wiki/Фукая,_Исабуро
1900-01-01;Q11665065;12805113;Нуката, Хисаси;;https://ru.wikipedia.org/wiki/Нуката,_Хисаси
1900-01-01;Q11762833;12899312;Пупон, Луи;French field hockey player;https://ru.wikipedia.org/wiki/Пупон,_Луи
1900-01-01;Q12083086;13303092;Бобров, Иван Иванович;украинский советский государственный и партийный деятель;https://ru.wikipedia.org/wiki/Бобров,_Иван_Иванович
1900-01-01;Q12088033;13308080;Васютин, Василий Филиппович;;https://ru.wikipedia.org/wiki/Васютин,_Василий_Филиппович
1900-01-01;Q12139399;13356719;Пелип, Дмитрий Петрович;;https://ru.wikipedia.org/wiki/Пелип,_Дмитрий_Петрович
1900-01-01;Q12353758;13571632;Петер Фрей;esperantist from Denmark;https://ru.wikipedia.org/wiki/Петер_Фрей
1900-01-01;Q12398525;13637127;Раймундо Фернандес-Вильяверде;испанский юрист и политик;https://ru.wikipedia.org/wiki/Раймундо_Фернандес-Вильяверде
1900-01-01;Q12410273;13651418;Зусман, Эзра;;https://ru.wikipedia.org/wiki/Зусман,_Эзра
1900-01-01;Q12536675;13811222;Манкин, Бржан;;https://ru.wikipedia.org/wiki/Манкин,_Бржан
1900-01-01;Q12572676;13858422;Тайшыков, Кадыр Беспакович;Soviet writer;https://ru.wikipedia.org/wiki/Тайшыков,_Кадыр_Беспакович
1900-01-01;Q12731152;14099699;Сэмэшеску, Истратие;Romanian politician;https://ru.wikipedia.org/wiki/Сэмэшеску,_Истратие
1900-01-01;Q5991712;5770050;Маноло Родригес;Spanish actor;https://ru.wikipedia.org/wiki/Маноло_Родригес
1900-01-01;Q6109524;5900971;Роберт Рикар;French university teacher;https://ru.wikipedia.org/wiki/Роберт_Рикар
1900-01-01;Q6262718;6066702;Джон Уокер;English footballer, born 1900;https://ru.wikipedia.org/wiki/Джон_Уокер
1900-01-01;Q6369478;6181411;Карен Андерс;American writer of romance novels;https://ru.wikipedia.org/wiki/Карен_Андерс
1900-01-01;Q6555577;6378311;Лайонел Клей;Australian politician;https://ru.wikipedia.org/wiki/Лайонел_Клей
1900-01-01;Q6769812;6616166;Марк Ст. Джермейн;American playwright;https://ru.wikipedia.org/wiki/Марк_Ст._Джермейн
1900-01-01;Q7349729;7257102;Роберт Шау;English Royal Navy officer and cricketer (1900-1995);https://ru.wikipedia.org/wiki/Роберт_Шау
1900-01-01;Q7350004;7257402;Роберт Стэнтон;American architect;https://ru.wikipedia.org/wiki/Роберт_Стэнтон
1900-01-01;Q7352890;7260434;Робин Райт;Irish rugby union player;https://ru.wikipedia.org/wiki/Робин_Райт
1900-01-01;Q7920802;7859635;Вера Степановна Малиновская;Russian actress;https://ru.wikipedia.org/wiki/Вера_Степановна_Малиновская
1900-01-01;Q9144428;9225476;Табоада, Альберто;уругвайский футболист;https://ru.wikipedia.org/wiki/Табоада,_Альберто
