дата;wiki id;page id;имя;профессия;ссылка
1921-03-02;Q16088946;17707802;Льюис, Бренда;American operatic soprano;https://ru.wikipedia.org/wiki/Льюис,_Бренда
1921-03-02;Q36459081;37845006;Поль Бутелье;French official;https://ru.wikipedia.org/wiki/Поль_Бутелье
1921-03-02;Q383773;365136;Гурский, Казимеж;польский футболист;https://ru.wikipedia.org/wiki/Гурский,_Казимеж
1921-03-02;Q5112750;4886450;Кристофер Ллойд;gardener;https://ru.wikipedia.org/wiki/Кристофер_Ллойд
1921-03-02;Q12678439;14019334;Витаутас Микалаускас;Lithuanian film director;https://ru.wikipedia.org/wiki/Витаутас_Микалаускас
1921-03-02;Q20965643;23017485;Милутин Стеванович;;https://ru.wikipedia.org/wiki/Милутин_Стеванович
1921-03-02;Q4341779;4149131;Павловский, Фёдор Кириллович;;https://ru.wikipedia.org/wiki/Павловский,_Фёдор_Кириллович
1921-03-02;Q56812282;56733132;Ким Джондэ;;https://ru.wikipedia.org/wiki/Ким_Джондэ
1921-03-02;Q78767;81318;Хаас, Эрнст (фотограф);American photographer;https://ru.wikipedia.org/wiki/Хаас,_Эрнст_(фотограф)
1921-03-02;Q6092868;5882925;Музаффер Аслан;Turkish film director and producer;https://ru.wikipedia.org/wiki/Музаффер_Аслан
1921-03-02;Q15055453;16721934;Трой Мелтон;American actor (1921-1995);https://ru.wikipedia.org/wiki/Трой_Мелтон
1921-03-02;Q65146478;64786654;Меликулова, Угилой;;https://ru.wikipedia.org/wiki/Меликулова,_Угилой
1921-03-02;Q4075004;3883539;Бадум, Йохан;German flying ace;https://ru.wikipedia.org/wiki/Бадум,_Йохан
1921-03-02;Q4533155;4326062;Этчаменди, Вашингтон;Uruguayan association football manager (1921-1976);https://ru.wikipedia.org/wiki/Этчаменди,_Вашингтон
1921-03-02;Q97662164;96046062;Михин, Пётр Алексеевич;;https://ru.wikipedia.org/wiki/Михин,_Пётр_Алексеевич
1921-03-02;Q3028216;2895020;Кэндзи Мисуми;Japanese film director;https://ru.wikipedia.org/wiki/Кэндзи_Мисуми
1921-03-02;Q4479523;4277119;Ушаков, Иван Фёдорович;Russian local historian;https://ru.wikipedia.org/wiki/Ушаков,_Иван_Фёдорович
1921-03-02;Q11443632;12582801;Амано, Кимиёси;Japanese politician;https://ru.wikipedia.org/wiki/Амано,_Кимиёси
1921-03-02;Q12551859;13831277;Лидия Ивановна Гончарова;;https://ru.wikipedia.org/wiki/Лидия_Ивановна_Гончарова
1921-03-02;Q16558946;18178692;Гиго Масино;Italian actor;https://ru.wikipedia.org/wiki/Гиго_Масино
1921-03-03;Q4445919;4245072;Сулёв, Виктор Александрович;Герой Советского Союза;https://ru.wikipedia.org/wiki/Сулёв,_Виктор_Александрович
1921-03-03;Q5235557;5005252;Давид Джеймс;Welsh cricketer, born 1921;https://ru.wikipedia.org/wiki/Давид_Джеймс
1921-03-03;Q1586585;1522270;Гарри Каленберг;Austrian actor and voice actor;https://ru.wikipedia.org/wiki/Гарри_Каленберг
1921-03-03;Q2824948;2705566;Стеллин, Адоне;Italian association football player (1921-1996);https://ru.wikipedia.org/wiki/Стеллин,_Адоне
1921-03-03;Q444125;418982;Дайана Бэрримор;American actress (1921-1960);https://ru.wikipedia.org/wiki/Дайана_Бэрримор
1921-03-03;Q1452424;1390590;Фред Людвиг;немецкий актёр;https://ru.wikipedia.org/wiki/Фред_Людвиг
1921-03-03;Q3094172;2957010;Габи Агьен;французский модельер;https://ru.wikipedia.org/wiki/Габи_Агьен
1921-03-03;Q16447776;18072359;Махов, Николай Фёдорович;;https://ru.wikipedia.org/wiki/Махов,_Николай_Фёдорович
1921-03-03;Q27883073;29591746;Бордун, Анатолий Зиновьевич;советский военный лётчик;https://ru.wikipedia.org/wiki/Бордун,_Анатолий_Зиновьевич
1921-03-03;Q2002226;1930654;Андре Нёри;Swiss footballer (1921-2007);https://ru.wikipedia.org/wiki/Андре_Нёри
1921-03-03;Q15076820;16740290;Олейник, Пётр Александрович;;https://ru.wikipedia.org/wiki/Олейник,_Пётр_Александрович
1921-03-03;Q63033502;62817642;Нина Лагергрен;Swedish businessperson;https://ru.wikipedia.org/wiki/Нина_Лагергрен
1921-03-03;Q557008;524793;Поль Гимар;французский писатель;https://ru.wikipedia.org/wiki/Поль_Гимар
1921-03-03;Q5349184;5116093;Фукуи, Эйити;Manga artist;https://ru.wikipedia.org/wiki/Фукуи,_Эйити
1921-03-03;Q15065040;16729870;Воинков, Александр Михайлович;;https://ru.wikipedia.org/wiki/Воинков,_Александр_Михайлович
1921-03-03;Q3802287;3626073;Изабелла Кварантотти;Italian writer and playwright;https://ru.wikipedia.org/wiki/Изабелла_Кварантотти
1921-03-03;Q11451399;12590903;Андо, Хидэхару;Japanese teacher (1921-1998);https://ru.wikipedia.org/wiki/Андо,_Хидэхару
1921-03-03;Q6874126;6729231;Чангалович, Мирослав;Bosnian singer;https://ru.wikipedia.org/wiki/Чангалович,_Мирослав
1921-03-03;Q93430582;92536456;Иванова, Зинаида Михайловна;;https://ru.wikipedia.org/wiki/Иванова,_Зинаида_Михайловна
1921-03-04;Q5534819;5295161;Джеффри Пол;British bishop;https://ru.wikipedia.org/wiki/Джеффри_Пол
1921-03-04;Q11577843;12717788;Каинояма, Фукухито;;https://ru.wikipedia.org/wiki/Каинояма,_Фукухито
1921-03-04;Q12660302;13987016;Казимирас Виткус;Lithuanian actor;https://ru.wikipedia.org/wiki/Казимирас_Виткус
1921-03-04;Q465245;438807;Уолтер Кэмпбелл;австралийский юрист и политик, 21-й губернатор Квинсленда;https://ru.wikipedia.org/wiki/Уолтер_Кэмпбелл
1921-03-04;Q4107835;3915721;Верижников, Борис Сергеевич;Soviet teacher;https://ru.wikipedia.org/wiki/Верижников,_Борис_Сергеевич
1921-03-04;Q12139105;13356438;Пастухов, Геннадий Фёдорович;Матвей Рябышев - (2009 - 2021) - начинающий реп музыкант и видио блогер;https://ru.wikipedia.org/wiki/Пастухов,_Геннадий_Фёдорович
1921-03-04;Q4065400;3874162;Александр Васильевич Андреев;советский офицер;https://ru.wikipedia.org/wiki/Александр_Васильевич_Андреев
1921-03-04;Q4160215;3968271;Джероян, Георгий Ованесович;;https://ru.wikipedia.org/wiki/Джероян,_Георгий_Ованесович
1921-03-04;Q15088445;16751728;Пятяри, Иван Викторович;;https://ru.wikipedia.org/wiki/Пятяри,_Иван_Викторович
1921-03-04;Q96119743;94897082;Николай Григорьевич Лаврентьев;заслуженный машиностроитель РСФСР;https://ru.wikipedia.org/wiki/Николай_Григорьевич_Лаврентьев
1921-03-04;Q446064;420860;Гринвуд, Джоан;British actress (1921-1987);https://ru.wikipedia.org/wiki/Гринвуд,_Джоан
1921-03-04;Q11542014;12681949;Макиэда, Мотофуми;Japanese activist;https://ru.wikipedia.org/wiki/Макиэда,_Мотофуми
1921-03-05;Q2482206;2397214;Бустаманте, Хосе (1921);Bolivian footballer (born 1921);https://ru.wikipedia.org/wiki/Бустаманте,_Хосе_(1921)
1921-03-05;Q3435863;3273244;Роберт Мартель;;https://ru.wikipedia.org/wiki/Роберт_Мартель
1921-03-05;Q6182543;5979223;Джером Элден;American playwright and screenwriter for television and documentary films;https://ru.wikipedia.org/wiki/Джером_Элден
1921-03-05;Q10357382;11661885;Рафанельи, Рамон;Argentinian association football player (1921-2001);https://ru.wikipedia.org/wiki/Рафанельи,_Рамон
1921-03-05;Q12332239;13544693;Пол Свенссон;;https://ru.wikipedia.org/wiki/Пол_Свенссон
1921-03-05;Q30609026;32219706;Ямамото, Такэо;;https://ru.wikipedia.org/wiki/Ямамото,_Такэо
1921-03-05;Q4416801;4218489;Артём Фёдорович Сергеев;генерал-майор артиллерии, один из основателей зенитных ракетных войск СССР, участник Великой Отечественной войны;https://ru.wikipedia.org/wiki/Артём_Фёдорович_Сергеев
1921-03-05;Q15068691;16733513;Киселёв, Николай Давыдович;;https://ru.wikipedia.org/wiki/Киселёв,_Николай_Давыдович
1921-03-05;Q51668861;52583030;Михаил Павлович Берёзко;;https://ru.wikipedia.org/wiki/Михаил_Павлович_Берёзко
